,Unnamed: 0,County Index,County Name,cfips,bestbus
0,0,0,Anderson,48001,3008012
1,1,1,Andrews,48003,3001041
2,2,2,Angelina,48005,3008005
3,3,3,Aransas,48007,3004174
4,4,4,Archer,48009,3002071
5,5,5,Armstrong,48011,3001002
6,6,6,Atascosa,48013,3004025
7,7,7,Austin,48015,3007117
8,8,8,Bailey,48017,3001002
9,9,9,Bandera,48019,3006130
10,10,10,Bastrop,48021,3006293
11,11,11,Baylor,48023,3002092
12,12,12,Bee,48025,3004039
13,13,13,Bell,48027,3005280
14,14,14,Bexar,48029,3006142
15,15,15,Blanco,48031,3006253
16,16,16,Borden,48033,3001023
17,17,17,Bosque,48035,3005192
18,18,18,Bowie,48037,3001002
19,19,19,Brazoria,48039,3007429
20,20,20,Brazos,48041,3008159
21,21,21,Brewster,48043,3001031
22,22,22,Briscoe,48045,3002030
23,23,23,Brooks,48047,3004125
24,24,24,Brown,48049,3005121
25,25,25,Burleson,48051,3006193
26,26,26,Burnet,48053,3006211
27,27,27,Caldwell,48055,3006219
28,28,28,Calhoun,48057,3007059
29,29,29,Callahan,48059,3005335
30,30,30,Cameron,48061,3004193
31,31,31,Camp,48063,3001002
32,32,32,Carson,48065,3002018
33,33,33,Cass,48067,3001002
34,34,34,Castro,48069,3001002
35,35,35,Chambers,48071,3007205
36,36,36,Cherokee,48073,3008113
37,37,37,Childress,48075,3001002
38,38,38,Clay,48077,3002113
39,39,39,Cochran,48079,3001002
40,40,40,Coke,48081,3003042
41,41,41,Coleman,48083,3005485
42,42,42,Collin,48085,3005296
43,43,43,Collingsworth,48087,3002009
44,44,44,Colorado,48089,3006189
45,45,45,Comal,48091,3006299
46,46,46,Comanche,48093,3005102
47,47,47,Concho,48095,3003067
48,48,48,Cooke,48097,3002078
49,49,49,Coryell,48099,3005452
50,50,50,Cottle,48101,3002080
51,51,51,Crane,48103,3001002
52,52,52,Crockett,48105,3001047
53,53,53,Crosby,48107,3002097
54,54,54,Culberson,48109,3001008
55,55,55,Dallam,48111,3001002
56,56,56,Dallas,48113,3005034
57,57,57,Dawson,48115,3001056
58,58,58,DeWitt,48123,3006031
59,59,59,Deaf Smith,48117,3001002
60,60,60,Delta,48119,3005137
61,61,61,Denton,48121,3005165
62,62,62,Dickens,48125,3002049
63,63,63,Dimmit,48127,3004190
64,64,64,Donley,48129,3002053
65,65,65,Duval,48131,3004130
66,66,66,Eastland,48133,3005265
67,67,67,Ector,48135,3001080
68,68,68,Edwards,48137,3003011
69,69,69,Ellis,48139,3005381
70,70,70,El Paso,48141,3001002
71,71,71,Erath,48143,3005046
72,72,72,Falls,48145,3005081
73,73,73,Fannin,48147,3002003
74,74,74,Fayette,48149,3006076
75,75,75,Fisher,48151,3003116
76,76,76,Floyd,48153,3001002
77,77,77,Foard,48155,3002011
78,78,78,Fort Bend,48157,3007347
79,79,79,Franklin,48159,3008106
80,80,80,Freestone,48161,3008044
81,81,81,Frio,48163,3004132
82,82,82,Gaines,48165,3001002
83,83,83,Galveston,48167,3007423
84,84,84,Garza,48169,3001002
85,85,85,Gillespie,48171,3003125
86,86,86,Glasscock,48173,3001085
87,87,87,Goliad,48175,3007275
88,88,88,Gonzales,48177,3006097
89,89,89,Gray,48179,3001002
90,90,90,Grayson,48181,3002102
91,91,91,Gregg,48183,3001002
92,92,92,Grimes,48185,3008031
93,93,93,Guadalupe,48187,3006162
94,94,94,Hale,48189,3001002
95,95,95,Hall,48191,3002015
96,96,96,Hamilton,48193,3005232
97,97,97,Hansford,48195,3001002
98,98,98,Hardeman,48197,3001002
99,99,99,Hardin,48199,3001002
100,100,100,Harris,48201,3007160
101,101,101,Harrison,48203,3001002
102,102,102,Hartley,48205,3001002
103,103,103,Haskell,48207,3002131
104,104,104,Hays,48209,3006177
105,105,105,Hemphill,48211,3002128
106,106,106,Henderson,48213,3008148
107,107,107,Hidalgo,48215,3004074
108,108,108,Hill,48217,3005291
109,109,109,Hockley,48219,3001002
110,110,110,Hood,48221,3005318
111,111,111,Hopkins,48223,3008067
112,112,112,Houston,48225,3008119
113,113,113,Howard,48227,3001062
114,114,114,Hudspeth,48229,3001002
115,115,115,Hunt,48231,3005050
116,116,116,Hutchinson,48233,3001002
117,117,117,Irion,48235,3001045
118,118,118,Jack,48237,3005362
119,119,119,Jackson,48239,3007130
120,120,120,Jasper,48241,3001002
121,121,121,Jeff Davis,48243,3001002
122,122,122,Jefferson,48245,3001002
123,123,123,Jim Hogg,48247,3004012
124,124,124,Jim Wells,48249,3004128
125,125,125,Johnson,48251,3005048
126,126,126,Jones,48253,3003022
127,127,127,Karnes,48255,3006264
128,128,128,Kaufman,48257,3005427
129,129,129,Kendall,48259,3006286
130,130,130,Kenedy,48261,3004152
131,131,131,Kent,48263,3002074
132,132,132,Kerr,48265,3003002
133,133,133,Kimble,48267,3003147
134,134,134,King,48269,3002032
135,135,135,Kinney,48271,3003074
136,136,136,Kleberg,48273,3004033
137,137,137,Knox,48275,3002036
138,138,138,La Salle,48283,3004188
139,139,139,Lamar,48277,3002114
140,140,140,Lamb,48279,3001002
141,141,141,Lampasas,48281,3003030
142,142,142,Lavaca,48285,3006191
143,143,143,Lee,48287,3006184
144,144,144,Leon,48289,3008011
145,145,145,Liberty,48291,3007041
146,146,146,Limestone,48293,3008068
147,147,147,Lipscomb,48295,3001002
148,148,148,Live Oak,48297,3004140
149,149,149,Llano,48299,3003105
150,150,150,Loving,48301,3001087
151,151,151,Lubbock,48303,3001002
152,152,152,Lynn,48305,3001002
153,153,153,McCulloch,48307,3001002
154,154,154,McLennan,48309,3005359
155,155,155,McMullen,48311,3004149
156,156,156,Madison,48313,3008001
157,157,157,Marion,48315,3001002
158,158,158,Martin,48317,3001057
159,159,159,Mason,48319,3001002
160,160,160,Matagorda,48321,3007096
161,161,161,Maverick,48323,3004015
162,162,162,Medina,48325,3006170
163,163,163,Menard,48327,3003139
164,164,164,Midland,48329,3001020
165,165,165,Milam,48331,3006108
166,166,166,Mills,48333,3005240
167,167,167,Mitchell,48335,3003038
168,168,168,Montague,48337,3002040
169,169,169,Montgomery,48339,3007390
170,170,170,Moore,48341,3001002
171,171,171,Morris,48343,3001002
172,172,172,Motley,48345,3001002
173,173,173,Nacogdoches,48347,3008098
174,174,174,Navarro,48349,3005180
175,175,175,Newton,48351,3001002
176,176,176,Nolan,48353,3003049
177,177,177,Nueces,48355,3004081
178,178,178,Ochiltree,48357,3001002
179,179,179,Oldham,48359,3001002
180,180,180,Orange,48361,3001002
181,181,181,Palo Pinto,48363,3005414
182,182,182,Panola,48365,3001002
183,183,183,Parker,48367,3005339
184,184,184,Parmer,48369,3001002
185,185,185,Pecos,48371,3001070
186,186,186,Polk,48373,3001002
187,187,187,Potter,48375,3001002
188,188,188,Presidio,48377,3001011
189,189,189,Rains,48379,3008074
190,190,190,Randall,48381,3001002
191,191,191,Reagan,48383,3001002
192,192,192,Real,48385,3003006
193,193,193,Red River,48387,3002041
194,194,194,Reeves,48389,3001032
195,195,195,Refugio,48391,3004150
196,196,196,Roberts,48393,3002027
197,197,197,Robertson,48395,3008083
198,198,198,Rockwall,48397,3005179
199,199,199,Runnels,48399,3003140
200,200,200,Rusk,48401,3008075
201,201,201,Sabine,48403,3001002
202,202,202,San Augustine,48405,3001002
203,203,203,San Jacinto,48407,3001002
204,204,204,San Patricio,48409,3004057
205,205,205,San Saba,48411,3003026
206,206,206,Schleicher,48413,3003019
207,207,207,Scurry,48415,3003079
208,208,208,Shackelford,48417,3005395
209,209,209,Shelby,48419,3001002
210,210,210,Sherman,48421,3001002
211,211,211,Smith,48423,3008134
212,212,212,Somervell,48425,3005261
213,213,213,Starr,48427,3004045
214,214,214,Stephens,48429,3005135
215,215,215,Sterling,48431,3003059
216,216,216,Stonewall,48433,3002067
217,217,217,Sutton,48435,3003010
218,218,218,Swisher,48437,3001002
219,219,219,Tarrant,48439,3005064
220,220,220,Taylor,48441,3003089
221,221,221,Terrell,48443,3001088
222,222,222,Terry,48445,3001002
223,223,223,Throckmorton,48447,3005473
224,224,224,Titus,48449,3008127
225,225,225,Tom Green,48451,3003115
226,226,226,Travis,48453,3006255
227,227,227,Trinity,48455,3001002
228,228,228,Tyler,48457,3001002
229,229,229,Upshur,48459,3001002
230,230,230,Upton,48461,3001034
231,231,231,Uvalde,48463,3003127
232,232,232,Val Verde,48465,3003051
233,233,233,Van Zandt,48467,3008021
234,234,234,Victoria,48469,3007019
235,235,235,Walker,48471,3001002
236,236,236,Waller,48473,3007252
237,237,237,Ward,48475,3001048
238,238,238,Washington,48477,3006063
239,239,239,Webb,48479,3004197
240,240,240,Wharton,48481,3007305
241,241,241,Wheeler,48483,3001002
242,242,242,Wichita,48485,3002055
243,243,243,Wilbarger,48487,3002062
244,244,244,Willacy,48489,3004184
245,245,245,Williamson,48491,3006119
246,246,246,Wilson,48493,3006322
247,247,247,Winkler,48495,3001086
248,248,248,Wise,48497,3005205
249,249,249,Wood,48499,3008137
250,250,250,Yoakum,48501,3001002
251,251,251,Young,48503,3005237
252,252,252,Zapata,48505,3004032
253,253,253,Zavala,48507,3004037
